Year,Grid_Ref_Easting,Grid_Ref_Northing,Number_of_Vehicles,Number_of_Casualties,Accident_Date,Time,Road_Class,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Casualty_Severity,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle
2013,431849,430432,1,1,21.12.2013,15,Motorway (freeway),Wet,Darkness (streetlights present and lit),Other,Driver or rider,Serious,Male,44,Car
2013,430547,431510,1,4,30.12.2013,2327,Motorway (freeway),Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,38,Car
2013,430547,431510,1,4,30.12.2013,2327,Motorway (freeway),Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Male,35,Car
2013,430547,431510,1,4,30.12.2013,2327,Motorway (freeway),Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Serious,Female,33,Car
2013,430547,431510,1,4,30.12.2013,2327,Motorway (freeway),Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,30,Car
2013,431914,432891,1,1,1.1.2013,105,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Slight,Male,19,Taxi/Private hire car
2013,434299,433794,1,2,1.1.2013,938,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Male,27,Car
2013,434299,433794,1,2,1.1.2013,938,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Male,28,Car
2013,427131,431591,1,3,1.1.2013,1518,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Male,26,Car
2013,427131,431591,1,3,1.1.2013,1518,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Male,17,Car
2013,427131,431591,1,3,1.1.2013,1518,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Male,27,Car
2013,431940,435674,1,1,2.1.2013,1545,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,28,Car
2013,430894,433377,2,1,2.1.2013,1600,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
2013,431827,441776,2,2,3.1.2013,520,"A (""back roads"")",Wet,Darkness (no streetlights),Raining without high winds,Driver or rider,Slight,Male,45,Car
2013,431827,441776,2,2,3.1.2013,520,"A (""back roads"")",Wet,Darkness (no streetlights),Raining without high winds,Driver or rider,Slight,Male,48,Car
2013,435312,435027,1,1,2.1.2013,1414,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Serious,Female,7,Car
2013,431346,435145,2,1,3.1.2013,1700,Unclassified,Wet,Darkness (streetlights present and lit),Raining without high winds,Driver or rider,Slight,Male,48,Bicycle
2013,432732,430406,3,1,3.1.2013,1702,B (regional road),Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,22,Car
2013,435102,433493,2,1,3.1.2013,1928,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,31,Car
2013,427367,431028,2,1,4.1.2013,700,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Serious,Male,27,Goods vehicle >3.5 tons and <7.5 tons
2013,435001,438398,2,3,4.1.2013,1140,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,79,Car
