"Year","Reference_Number","Grid_Ref_Easting","Grid_Ref_Northing","Number_of_Vehicles","Number_of_Casualties","Accident_Date","Time","Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty","Type_of_Vehicle"
"2013","0AF0559","429793","432118","3","3","15_10_2013","1215","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","19","Car"
"2013","0AF0559","429793","432118","3","3","15_10_2013","1215","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","43","Goods vehicle <=3.5 tons"
"2013","0AG0289","429139","431822","3","1","16_10_2013","825","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","61","Car"
"2013","0AJ1683","430015","432122","1","1","19_10_2013","2015","Motorway (freeway)","Wet","Darkness (streetlights present and lit)","Raining w/o high winds","Vehicle or pillion passenger","Slight","Female","23","Car"
"2013","0AM0676","432244","426028","2","3","22_10_2013","1240","Motorway (freeway)","Wet","Daylight (streetlights present)","Other","Driver or rider","Fatal","Male","65","Car"
"2013","0AM0676","432244","426028","2","3","22_10_2013","1240","Motorway (freeway)","Wet","Daylight (streetlights present)","Other","Vehicle or pillion passenger","Serious","Female","67","Car"
"2013","0AM0676","432244","426028","2","3","22_10_2013","1240","Motorway (freeway)","Wet","Daylight (streetlights present)","Other","Driver or rider","Slight","Male","28","Goods vehicle <=3.5 tons"
"2013","0AP0717","429951","432118","2","1","25_10_2013","745","Motorway (freeway)","Wet","Daylight (streetlights present)","Raining w/o high winds","Driver or rider","Slight","Male","38","Motorcycle over 500cc"
"2013","0AR0889","429185","431932","2","1","27_10_2013","1147","Unclassified","Wet","Daylight (streetlights present)","Fine with high winds","Driver or rider","Slight","Female","27","Car"
"2013","0BB1414","430678","430577","2","1","11_11_2013","1805","Motorway (freeway)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","55","Car"
"2013","0BD0401","424090","428088","3","2","13_11_2013","1018","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","41","Car"
"2013","0BD0401","424090","428088","3","2","13_11_2013","1018","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","30","Car"
"2013","0C61050","430391","424216","3","2","6_12_2013","2126","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","58","Car"
"2013","0C61050","430391","424216","3","2","6_12_2013","2126","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","28","Car"
"2013","0C90374","432294","426168","2","1","9_12_2013","945","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","34","Goods vehicle <=3.5 tons"
"2013","0CD1149","430693","424510","2","1","13_12_2013","1700","A (back roads)","Wet","Darkness (streetlights present and lit)","Raining w/o high winds","Driver or rider","Slight","Male","34","Car"
"2013","0CJ0503","434891","425881","4","2","19_12_2013","1135","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","28","Car"
"2013","0CJ0503","434891","425881","4","2","19_12_2013","1135","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","41","Car"
"2013","0CK0961","429848","432292","3","1","20_12_2013","1515","Motorway (freeway)","Wet","Daylight (streetlights present)","Raining with high winds","Driver or rider","Slight","Male","59","Car"
"2013","0CL0053","431849","430432","1","1","21_12_2013","15","Motorway (freeway)","Wet","Darkness (streetlights present and lit)","Other","Driver or rider","Serious","Male","44","Car"
"2013","0CU1531","430547","431510","1","4","30_12_2013","2327","Motorway (freeway)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","38","Car"
"2013","0CU1531","430547","431510","1","4","30_12_2013","2327","Motorway (freeway)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","35","Car"
"2013","0CU1531","430547","431510","1","4","30_12_2013","2327","Motorway (freeway)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Female","33","Car"
"2013","0CU1531","430547","431510","1","4","30_12_2013","2327","Motorway (freeway)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","30","Car"
"2013","130000155","431914","432891","1","1","1_1_2013","105","Unclassified","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Pedestrian","Slight","Male","19","Taxi/Private hire car"
